UN;Codigo;Servicio;Sentido;Periodo;Frecuencia_buses_hr;Velocidad_kmh
3;317;I25;Ret;PRENOC1;0,0;0,0
3;317;I25;Ret;PRENOC2;0,0;0,0
3;317;I25;Ret;PTA1;0,0;0,0
3;317;I25;Ret;PTA2;0,0;0,0
3;317;I25;Ret;TNOC;0,0;0,0
3;317;I25;Ret;TPMA;0,0;0,0
3;318;111;Ida;FPMA;5,7;18,8
3;318;111;Ida;FPNOC;4,7;19,6
3;318;111;Ida;FPTA;5,6;15,7
3;318;111;Ida;NOC;0,0;0,0
3;318;111;Ida;PMA;6,0;15,7
3;318;111;Ida;PMD;5,3;16,8
3;318;111;Ida;PRENOC1;0,0;0,0
3;318;111;Ida;PRENOC2;2,0;22,1
3;318;111;Ida;PTA1;6,0;12,9
3;318;111;Ida;PTA2;5,0;15,6
3;318;111;Ida;TNOC;3,0;20,5
3;318;111;Ida;TPMA;6,0;18,6
3;318;111;Ret;FPMA;5,7;18,8
3;318;111;Ret;FPNOC;4,0;23,4
3;318;111;Ret;FPTA;5,6;17,4
3;318;111;Ret;NOC;0,7;21,1
3;318;111;Ret;PMA;6,0;13,1
3;318;111;Ret;PMD;5,3;18,2
3;318;111;Ret;PRENOC1;0,0;0,0
3;318;111;Ret;PRENOC2;2,0;24,8
3;318;111;Ret;PTA1;5,5;15,2
3;318;111;Ret;PTA2;4,5;19,5
3;318;111;Ret;TNOC;6,0;16,0
3;318;111;Ret;TPMA;6,0;18,1
3;319;119;Ida;FPMA;5,3;17,0
3;319;119;Ida;FPNOC;4,7;19,4
3;319;119;Ida;FPTA;8,0;15,5
3;319;119;Ida;NOC;2,0;23,2
3;319;119;Ida;PMA;8,0;15,8
3;319;119;Ida;PMD;4,7;16,1
3;319;119;Ida;PRENOC1;2,0;23,0
3;319;119;Ida;PRENOC2;3,5;21,7
3;319;119;Ida;PTA1;9,5;13,9
3;319;119;Ida;PTA2;8,5;17,1
3;319;119;Ida;TNOC;3,0;19,8
3;319;119;Ida;TPMA;6,7;16,9
3;319;119;Ret;FPMA;6,7;15,8
3;319;119;Ret;FPNOC;4,0;20,3
3;319;119;Ret;FPTA;8,0;15,4
3;319;119;Ret;NOC;2,0;22,0
3;319;119;Ret;PMA;12,0;13,8
3;319;119;Ret;PMD;5,3;15,3
3;319;119;Ret;PRENOC1;2,0;22,1
3;319;119;Ret;PRENOC2;3,0;22,4
3;319;119;Ret;PTA1;7,5;13,0
3;319;119;Ret;PTA2;4,5;16,8
3;319;119;Ret;TNOC;11,0;18,5
3;319;119;Ret;TPMA;8,0;15,1
3;320;121;Ida;FPMA;4,7;17,1
3;320;121;Ida;FPNOC;4,7;19,2
3;320;121;Ida;FPTA;5,2;15,2
3;320;121;Ida;NOC;0,0;0,0
3;320;121;Ida;PMA;5,3;15,6
3;320;121;Ida;PMD;5,3;15,9
3;320;121;Ida;PRENOC1;0,0;0,0
3;320;121;Ida;PRENOC2;3,0;22,0
3;320;121;Ida;PTA1;7,0;12,8
3;320;121;Ida;PTA2;6,5;16,1
3;320;121;Ida;TNOC;3,0;20,2
3;320;121;Ida;TPMA;6,0;16,7
3;320;121;Ret;FPMA;5,3;15,0
3;320;121;Ret;FPNOC;4,0;19,4
3;320;121;Ret;FPTA;5,2;14,7
3;320;121;Ret;NOC;0,0;0,0
3;320;121;Ret;PMA;8,0;13,0
3;320;121;Ret;PMD;5,3;14,7
3;320;121;Ret;PRENOC1;0,0;0,0
3;320;121;Ret;PRENOC2;2,0;20,7
3;320;121;Ret;PTA1;6,5;13,9
3;320;121;Ret;PTA2;6,5;16,7
3;320;121;Ret;TNOC;6,0;16,5
3;320;121;Ret;TPMA;6,0;14,7
3;324;125;Ida;FPMA;5,0;17,3
3;324;125;Ida;FPNOC;4,7;19,8
3;324;125;Ida;FPTA;5,2;15,7
3;324;125;Ida;NOC;0,0;0,0
3;324;125;Ida;PMA;5,3;17,2
3;324;125;Ida;PMD;5,3;16,2
3;324;125;Ida;PRENOC1;0,0;0,0
3;324;125;Ida;PRENOC2;2,0;21,5
3;324;125;Ida;PTA1;6,0;13,3
3;324;125;Ida;PTA2;5,5;16,1
3;324;125;Ida;TNOC;3,0;22,1
3;324;125;Ida;TPMA;4,0;17,8
3;324;125;Ret;FPMA;5,0;16,5
3;324;125;Ret;FPNOC;4,0;22,6
3;324;125;Ret;FPTA;4,8;17,2
3;324;125;Ret;NOC;0,2;23,9
3;324;125;Ret;PMA;6,0;13,9
3;324;125;Ret;PMD;5,3;16,9
3;324;125;Ret;PRENOC1;0,0;0,0
3;324;125;Ret;PRENOC2;2,0;23,4
3;324;125;Ret;PTA1;5,0;14,6
3;324;125;Ret;PTA2;5,0;18,4
3;324;125;Ret;TNOC;4,0;20,3
3;324;125;Ret;TPMA;5,3;15,8
3;328;113;Ida;FPMA;5,0;21,1
3;328;113;Ida;FPNOC;4,7;25,4
3;328;113;Ida;FPTA;5,2;20,7
3;328;113;Ida;NOC;0,0;0,0
3;328;113;Ida;PMA;5,3;13,9
3;328;113;Ida;PMD;5,3;21,0
3;328;113;Ida;PRENOC1;0,0;0,0
3;328;113;Ida;PRENOC2;2,0;27,8
3;328;113;Ida;PTA1;5,5;18,4
3;328;113;Ida;PTA2;4,5;22,6
3;328;113;Ida;TNOC;6,0;16,7
3;328;113;Ida;TPMA;4,7;19,0
3;328;113;Ret;FPMA;5,0;22,3
3;328;113;Ret;FPNOC;5,3;22,8
3;328;113;Ret;FPTA;5,2;19,3
3;328;113;Ret;NOC;0,0;0,0
3;328;113;Ret;PMA;5,3;20,1
3;328;113;Ret;PMD;5,3;19,8
3;328;113;Ret;PRENOC1;0,0;0,0
3;328;113;Ret;PRENOC2;3,0;27,0
3;328;113;Ret;PTA1;5,5;15,3
3;328;113;Ret;PTA2;4,5;18,0
3;328;113;Ret;TNOC;0,0;0,0
3;328;113;Ret;TPMA;4,7;21,7
3;329;329;Ida;FPMA;5,0;19,1
3;329;329;Ida;FPNOC;4,7;22,1
3;329;329;Ida;FPTA;5,2;17,8
3;329;329;Ida;NOC;0,0;0,0
3;329;329;Ida;PMA;7,3;17,5
3;329;329;Ida;PMD;4,7;18,9
3;329;329;Ida;PRENOC1;0,0;0,0
3;329;329;Ida;PRENOC2;2,0;23,3
3;329;329;Ida;PTA1;5,0;14,5
3;329;329;Ida;PTA2;4,5;18,0
3;329;329;Ida;TNOC;6,0;21,0
3;329;329;Ida;TPMA;4,7;18,8
3;329;329;Ret;FPMA;5,0;20,1
3;329;329;Ret;FPNOC;5,3;21,5
3;329;329;Ret;FPTA;5,2;18,5
3;329;329;Ret;NOC;0,0;0,0
3;329;329;Ret;PMA;6,7;17,6
3;329;329;Ret;PMD;4,7;19,4
