Unidad de Negocio,Código TS,Código Usuario,Sentido,FREC_PUNTA,FREC_VALLE,INDICE_PUNTA_VALLE,CAP_POR_BUS_PUNTA,TIPO_ZONA
4,471,G11,Ida,7.708333333333333,6.133333333333333,1.2567934782608696,91.0,Periférica
4,469,G09,Ida,6.5,5.177777777777777,1.255364806866953,99.0,Periférica
16,1603,503,Ida,10.208333333333332,8.133333333333333,1.255122950819672,90.00000000000001,Periférica
18,1847,H07,Ida,5.041666666666667,4.022222222222222,1.2534530386740332,90.0,Periférica
16,1618,E18,Ret,5.291666666666667,4.222222222222222,1.2532894736842106,90.0,Periférica
4,464,G04,Ida,10.625,8.488888888888889,1.2516361256544501,99.0,Periférica
16,1619,J19,Ida,5.416666666666666,4.333333333333333,1.25,90.0,Periférica
19,1926,226,Ret,7.458333333333333,5.977777777777778,1.2476765799256504,90.0,Periférica
18,1836,306,Ida,7.208333333333333,5.777777777777778,1.2475961538461537,90.0,Periférica
2,211,211,Ida,6.791666666666666,5.444444444444444,1.2474489795918369,92.0,Central
8,809,B09,Ida,3.791666666666667,3.0444444444444443,1.2454379562043798,60.0,Periférica
15,1505,505,Ret,9.125,7.333333333333333,1.2443181818181819,150.0,Periférica
5,525,J05,Ida,5.583333333333333,4.48888888888889,1.2438118811881185,81.0,Periférica
5,533c,J13c,Ret,6.25,5.044444444444444,1.2389867841409692,81.0,Periférica
5,516,516,Ida,11.083333333333332,8.955555555555556,1.237593052109181,81.0,Periférica
14,1421,421,Ret,6.541666666666666,5.288888888888889,1.2368697478991595,150.0,Periférica
18,1836,306,Ret,7.416666666666667,6.0,1.2361111111111112,90.0,Periférica
11,1128,C28,Ida,7.416666666666666,6.0,1.236111111111111,90.0,Periférica
19,1941,B41,Ida,5.833333333333333,4.733333333333333,1.232394366197183,90.0,Periférica
18,1821,321,Ret,4.791666666666667,3.8888888888888893,1.232142857142857,60.0,Periférica
16,1637,E07,Ida,5.666666666666666,4.6000000000000005,1.2318840579710142,90.0,Periférica
16,1609,209,Ida,6.833333333333333,5.5555555555555545,1.2300000000000002,150.0,Periférica
13,1302,402,Ida,6.083333333333333,4.955555555555556,1.2275784753363228,90.0,Periférica
5,519,519,Ida,6.375,5.2,1.2259615384615383,101.0,Periférica
2,282,282,Ida,0.7083333333333333,0.5777777777777778,1.225961538461538,92.00000000000001,Central
5,582,J22,Ida,0.7083333333333333,0.5777777777777778,1.225961538461538,81.0,Periférica
3,320,121,Ida,6.208333333333333,5.066666666666666,1.225328947368421,98.0,Semi-Central
11,1113,C13,Ida,5.333333333333333,4.355555555555556,1.2244897959183672,60.0,Periférica
5,508,508,Ida,8.666666666666666,7.088888888888889,1.2225705329153604,99.6842105263158,Periférica
3,378,I08,Ida,13.25,10.844444444444443,1.2218237704918034,98.0,Semi-Central
8,829,B29,Ida,5.916666666666666,4.844444444444445,1.2213302752293576,90.0,Periférica
4,411c,211c,Ida,11.333333333333334,9.28888888888889,1.2200956937799043,91.0,Periférica
4,411c,211c,Ret,11.333333333333334,9.28888888888889,1.2200956937799043,91.0,Periférica
